"","symbol","gene"
"1","A1BG","ENSG00000121410"
"2","A1BG-AS1","ENSG00000268895"
"3","A1CF","ENSG00000148584"
"4","A1S9T",""
"5","A2M","ENSG00000175899"
"6","A2M-AS1","ENSG00000245105"
"7","A2ML1","ENSG00000166535"
"8","A2ML1-AS1","ENSG00000256661"
"9","A2ML1-AS2","ENSG00000256904"
"10","A2MP1","ENSG00000256069"
"11","A2MR",""
"12","A2MRAP",""
"13","A3GALT2","ENSG00000184389"
"14","A4GALT","ENSG00000128274"
"15","A4GNT","ENSG00000118017"
"16","A12M1",""
"17","A12M2",""
"18","A12M3",""
"19","A12M4",""
"20","AA",""
"21","AAAS","ENSG00000094914"
"22","AABT",""
"23","AAC1",""
"24","AAC2",""
"25","AACS","ENSG00000081760"
"26","AACSP1","ENSG00000250420"
"27","AACT",""
"28","AADAC","ENSG00000114771"
"29","AADACL2","ENSG00000197953"
"30","AADACL2-AS1","ENSG00000242908"
"31","AADACL3","ENSG00000188984"
"32","AADACL4","ENSG00000204518"
"33","AADACP1","ENSG00000240602"
"34","AADAT","ENSG00000109576"
"35","AAGAB","ENSG00000103591"
"36","AAK1","ENSG00000115977"
"37","AAMDC","ENSG00000087884"
"38","AAMP","ENSG00000127837"
"39","AANAT","ENSG00000129673"
"40","AAR2","ENSG00000131043"
"41","AARD","ENSG00000205002"
"42","AARS1","ENSG00000090861"
"43","AARS1P1","ENSG00000249038"
"44","AARS2","ENSG00000124608"
"45","AARSD1","ENSG00000266967"
"46","AARSD1P1","ENSG00000234969"
"47","AASDH","ENSG00000157426"
"48","AASDHPPT","ENSG00000149313"
"49","AASS","ENSG00000008311"
"50","AATBC","ENSG00000215458"
"51","AATF","ENSG00000275700"
"52","AATK","ENSG00000181409"
"53","AAVS1",""
"54","ABALON","ENSG00000281376"
"55","ABAT","ENSG00000183044"
"56","ABC1",""
"57","ABC2",""
"58","ABC3",""
"59","ABC7",""
"60","ABC50",""
"61","ABCA1","ENSG00000165029"
"62","ABCA2","ENSG00000107331"
"63","ABCA3","ENSG00000167972"
"64","ABCA4","ENSG00000198691"
"65","ABCA5","ENSG00000154265"
"66","ABCA6","ENSG00000154262"
"67","ABCA7","ENSG00000064687"
"68","ABCA8","ENSG00000141338"
"69","ABCA9","ENSG00000154258"
"70","ABCA9-AS1","ENSG00000231749"
"71","ABCA10","ENSG00000154263"
"72","ABCA11P","ENSG00000251595"
"73","ABCA12","ENSG00000144452"
"74","ABCA13","ENSG00000179869"
"75","ABCA17P","ENSG00000238098"
"76","ABCB1","ENSG00000085563"
"77","ABCB2",""
"78","ABCB3",""
"79","ABCB4","ENSG00000005471"
"80","ABCB5","ENSG00000004846"
"81","ABCB6","ENSG00000115657"
"82","ABCB7","ENSG00000131269"
"83","ABCB8","ENSG00000197150"
"84","ABCB9","ENSG00000150967"
"85","ABCB10","ENSG00000135776"
"86","ABCB10P1","ENSG00000274099"
"87","ABCB10P2",""
"88","ABCB10P3","ENSG00000261524"
"89","ABCB10P4","ENSG00000260053"
"90","ABCB11","ENSG00000073734"
"91","ABCC1","ENSG00000103222"
"92","ABCC2","ENSG00000023839"
"93","ABCC3","ENSG00000108846"
"94","ABCC4","ENSG00000125257"
"95","ABCC5","ENSG00000114770"
"96","ABCC5-AS1","ENSG00000223882"
"97","ABCC6","ENSG00000091262"
"98","ABCC6P1","ENSG00000256340"
"99","ABCC6P2","ENSG00000255277"
"100","ABCC7",""
"101","ABCC8","ENSG00000006071"
"102","ABCC9","ENSG00000069431"
"103","ABCC10","ENSG00000124574"
"104","ABCC11","ENSG00000121270"
"105","ABCC12","ENSG00000140798"
"106","ABCC13","ENSG00000243064"
"107","ABCD1","ENSG00000101986"
"108","ABCD1P1",""
"109","ABCD1P2","ENSG00000215151"
"110","ABCD1P3","ENSG00000261233"
"111","ABCD1P4","ENSG00000225293"
"112","ABCD1P5","ENSG00000214330"
"113","ABCD2","ENSG00000173208"
"114","ABCD3","ENSG00000117528"
"115","ABCD4","ENSG00000119688"
"116","ABCE1","ENSG00000164163"
"117","ABCF1","ENSG00000204574"
"118","ABCF1-DT",""
"119","ABCF2","ENSG00000033050"
"120","ABCF2-H2BE1","ENSG00000285292"
"121","ABCF2P1","ENSG00000242159"
"122","ABCF2P2","ENSG00000228769"
"123","ABCF3","ENSG00000161204"
"124","ABCG1","ENSG00000160179"
"125","ABCG2","ENSG00000118777"
"126","ABCG4","ENSG00000172350"
"127","ABCG5","ENSG00000138075"
"128","ABCG8","ENSG00000143921"
"129","ABCR",""
"130","ABHD1","ENSG00000143994"
"131","ABHD2","ENSG00000140526"
"132","ABHD3","ENSG00000158201"
"133","ABHD4","ENSG00000100439"
"134","ABHD5","ENSG00000011198"
"135","ABHD6","ENSG00000163686"
"136","ABHD8","ENSG00000127220"
"137","ABHD10","ENSG00000144827"
"138","ABHD11","ENSG00000106077"
"139","ABHD11-AS1","ENSG00000225969"
"140","ABHD11-AS2",""
"141","ABHD12","ENSG00000100997"
"142","ABHD12B","ENSG00000131969"
"143","ABHD13","ENSG00000139826"
"144","ABHD14A","ENSG00000248487"
"145","ABHD14A-ACY1","ENSG00000114786"
"146","ABHD14B","ENSG00000114779"
"147","ABHD15","ENSG00000168792"
