Gene stable ID	Gene stable ID version	Gene description	Gene name
ENSG00000210049	ENSG00000210049.1	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	MT-TF
ENSG00000211459	ENSG00000211459.2	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	MT-RNR1
ENSG00000210077	ENSG00000210077.1	mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]	MT-TV
ENSG00000210082	ENSG00000210082.2	mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]	MT-RNR2
ENSG00000209082	ENSG00000209082.1	mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]	MT-TL1
ENSG00000198888	ENSG00000198888.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	MT-ND1
ENSG00000210100	ENSG00000210100.1	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]	MT-TI
ENSG00000210107	ENSG00000210107.1	mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]	MT-TQ
ENSG00000210112	ENSG00000210112.1	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]	MT-TM
ENSG00000198763	ENSG00000198763.3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	MT-ND2
ENSG00000210117	ENSG00000210117.1	mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]	MT-TW
ENSG00000210127	ENSG00000210127.1	mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]	MT-TA
ENSG00000210135	ENSG00000210135.1	mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]	MT-TN
ENSG00000210140	ENSG00000210140.1	mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]	MT-TC
ENSG00000210144	ENSG00000210144.1	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]	MT-TY
ENSG00000198804	ENSG00000198804.2	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	MT-CO1
ENSG00000210151	ENSG00000210151.2	mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]	MT-TS1
ENSG00000210154	ENSG00000210154.1	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]	MT-TD
ENSG00000198712	ENSG00000198712.1	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	MT-CO2
ENSG00000210156	ENSG00000210156.1	mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]	MT-TK
ENSG00000228253	ENSG00000228253.1	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	MT-ATP8
ENSG00000198899	ENSG00000198899.2	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	MT-ATP6
ENSG00000198938	ENSG00000198938.2	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	MT-CO3
ENSG00000210164	ENSG00000210164.1	mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]	MT-TG
ENSG00000198840	ENSG00000198840.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	MT-ND3
ENSG00000210174	ENSG00000210174.1	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]	MT-TR
