"gene_id" "projection_parent_gene"
"1" "ENSG05220038328" "ENSG00000237076.1"
"2" "ENSG05220038329" "ENSG00000234518.2"
"3" "ENSG05220038330" "ENSG00000279778.1"
"4" "ENSG05220038331" "ENSG00000117155.17"
"5" "ENSG05220038332" "ENSG00000199318.1"
"6" "ENSG05220038333" "ENSG00000267272.5"
"7" "ENSG05220038334" "ENSG00000137944.18"
"8" "ENSG05220038335" "ENSG00000153898.13"
"9" "ENSG05220038342" "ENSG00000199934.1"
"10" "ENSG05220038350" "ENSG00000285325.1"
"11" "ENSG05220038352" "ENSG00000201620.1"
"12" "ENSG05220038353" "ENSG00000271576.1"
"13" "ENSG05220038354" "ENSG00000233008.6"
"14" "ENSG05220038355" "ENSG00000137975.8"
"15" "ENSG05220038357" "ENSG00000055732.13"
"16" "ENSG05220038358" "ENSG00000162642.14"
"17" "ENSG05220038362" "ENSG00000142867.14"
"18" "ENSG05220038367" "ENSG00000223653.6"
"19" "ENSG05220038369" "ENSG00000230285.1"
"20" "ENSG05220038370" "ENSG00000224466.1"
"21" "ENSG05220038372" "ENSG00000237959.1"
"22" "ENSG05220038373" "ENSG00000232622.1"
"23" "ENSG05220038374" "ENSG00000285374.1"
"24" "ENSG05220038376" "ENSG00000203943.9"
"25" "ENSG05220038377" "ENSG00000285361.1"
"26" "ENSG05220038378" "ENSG00000142871.18"
"27" "ENSG05220038380" "ENSG00000137976.8"
"28" "ENSG05220038385" "ENSG00000285782.2"
"29" "ENSG05220038391" "ENSG00000153936.17"
"30" "ENSG05220038398" "ENSG00000171517.6"
"31" "ENSG05220038399" "ENSG00000278281.1"
"32" "ENSG05220038400" "ENSG00000227290.2"
"33" "ENSG05220038403" "ENSG00000231364.3"
"34" "ENSG05220038408" "ENSG00000162645.13"
"35" "ENSG05220038410" "ENSG00000117174.11"
"36" "ENSG05220038415" "ENSG00000239504.3"
"37" "ENSG05220038416" "ENSG00000199959.1"
"38" "ENSG05220038418" "ENSG00000235308.1"
"39" "ENSG05220038422" "ENSG00000065243.20"
"40" "ENSG05220038424" "ENSG00000097033.14"
"41" "ENSG05220038425" "ENSG00000230053.2"
"42" "ENSG05220038427" "ENSG00000284734.1"
"43" "ENSG05220038429" "ENSG00000223254.1"
"44" "ENSG05220038430" "ENSG00000284846.1"
"45" "ENSG05220038431" "ENSG00000285201.1"
"46" "ENSG05220038433" "ENSG00000237505.8"
"47" "ENSG05220038439" "ENSG00000122417.15"
"48" "ENSG05220038446" "ENSG00000225568.1"
"49" "ENSG05220038447" "ENSG00000117226.12"
"50" "ENSG05220038450" "ENSG00000249237.5"
"51" "ENSG05220038452" "ENSG00000171502.15"
"52" "ENSG05220038454" "ENSG00000016602.9"
"53" "ENSG05220038460" "ENSG00000016490.16"
"54" "ENSG05220038463" "ENSG00000280099.1"
"55" "ENSG05220038464" "ENSG00000202385.1"
"56" "ENSG05220038466" "ENSG00000117151.13"
"57" "ENSG05220038474" "ENSG00000142875.19"
"58" "ENSG05220038480" "ENSG00000137941.17"
"59" "ENSG05220038502" "ENSG00000236915.2"
"60" "ENSG05220038513" "ENSG00000117228.11"
"61" "ENSG05220038515" "ENSG00000274321.1"
"62" "ENSG05220038516" "ENSG00000286758.1"
"63" "ENSG05220038517" "ENSG00000240520.7"
"64" "ENSG05220038519" "ENSG00000097096.9"
"65" "ENSG05220038520" "ENSG00000143013.13"
"66" "ENSG05220038522" "ENSG00000183291.17"
"67" "ENSG05220038529" "ENSG00000162643.13"
"68" "ENSG05220038533" "ENSG00000229505.1"
"69" "ENSG05220038534" "ENSG00000282057.1"
"70" "ENSG05220038535" "ENSG00000284240.1"
"71" "ENSG05220038536" "ENSG00000236268.6"
"72" "ENSG05220038537" "ENSG00000230721.1"
"73" "ENSG05220038538" "ENSG00000241975.1"
"74" "ENSG05220038539" "ENSG00000153923.10"
"75" "ENSG05220038541" "ENSG00000122432.18"
"76" "ENSG05220038542" "ENSG00000207234.1"
"77" "ENSG05220038543" "ENSG00000174021.11"
"78" "ENSG05220038544" "ENSG00000153904.21"
"79" "ENSG05220038546" "ENSG00000267734.1"
"80" "ENSG05220038547" "ENSG00000273264.1"
"81" "ENSG05220038549" "ENSG00000213540.3"
"82" "ENSG05220038550" "ENSG00000235251.2"
"83" "ENSG05220038553" "ENSG00000137947.12"
"84" "ENSG05220038555" "ENSG00000266110.1"
"85" "ENSG05220038556" "ENSG00000229486.2"
"86" "ENSG05220038557" "ENSG00000286802.1"
"87" "ENSG05220038559" "ENSG00000213512.3"
"88" "ENSG05220038562" "ENSG00000285210.1"
"89" "ENSG05220038565" "ENSG00000117133.11"
"90" "ENSG05220038566" "ENSG00000272691.1"
"91" "ENSG05220038567" "ENSG00000284882.1"
"92" "ENSG05220038568" "ENSG00000213516.10"
"93" "ENSG05220038570" "ENSG00000226970.2"
"94" "ENSG05220038571" "ENSG00000270507.1"
"95" "ENSG05220038572" "ENSG00000180869.4"
"96" "ENSG05220038573" "ENSG00000199459.1"
"97" "ENSG05220038574" "ENSG00000233061.1"
"98" "ENSG05220038575" "ENSG00000261737.1"
"99" "ENSG05220038576" "ENSG00000231349.2"
"100" "ENSG05220038345" "ENSG00000162654.9"
"101" "ENSG05220037146" "ENSG00000131914.11"
"102" "ENSG05220037147" "ENSG00000186501.15"
"103" "ENSG05220037148" "ENSG00000175707.9"
"104" "ENSG05220037149" "ENSG00000284309.1"
"105" "ENSG05220037150" "ENSG00000235069.2"
"106" "ENSG05220037151" "ENSG00000243905.3"
"107" "ENSG05220037152" "ENSG00000197245.6"
"108" "ENSG05220037153" "ENSG00000225990.2"
"109" "ENSG05220037154" "ENSG00000117640.18"
"110" "ENSG05220037155" "ENSG00000272478.1"
"111" "ENSG05220037156" "ENSG00000252098.1"
"112" "ENSG05220037157" "ENSG00000131910.5"
"113" "ENSG05220037158" "ENSG00000252190.1"
"114" "ENSG05220037159" "ENSG00000175087.10"
"115" "ENSG05220037160" "ENSG00000225891.2"
"116" "ENSG05220037161" "ENSG00000287810.1"
"117" "ENSG05220037162" "ENSG00000176083.18"
"118" "ENSG05220037163" "ENSG00000253368.4"
"119" "ENSG05220037164" "ENSG00000157978.12"
"120" "ENSG05220037165" "ENSG00000229247.2"
"121" "ENSG05220037166" "ENSG00000270733.1"
"122" "ENSG05220037167" "ENSG00000162430.18"
"123" "ENSG05220037170" "ENSG00000259984.1"
"124" "ENSG05220037172" "ENSG00000252429.2"
"125" "ENSG05220037173" "ENSG00000174950.11"
"126" "ENSG05220037188" "ENSG00000117632.23"
"127" "ENSG05220037194" "ENSG00000241547.1"
"128" "ENSG05220037196" "ENSG00000198746.13"
"129" "ENSG05220037201" "ENSG00000090020.11"
"130" "ENSG05220037210" "ENSG00000225643.1"
"131" "ENSG05220037212" "ENSG00000283938.1"
"132" "ENSG05220037213" "ENSG00000225294.1"
"133" "ENSG05220037216" "ENSG00000236782.7"
"134" "ENSG05220037221" "ENSG00000158014.15"
"135" "ENSG05220037223" "ENSG00000229786.1"
"136" "ENSG05220037224" "ENSG00000169442.9"
"137" "ENSG05220037226" "ENSG00000127423.11"
"138" "ENSG05220037228" "ENSG00000214973.3"
"139" "ENSG05220037229" "ENSG00000252802.1"
"140" "ENSG05220037230" "ENSG00000233478.1"
"141" "ENSG05220037231" "ENSG00000175793.12"
"142" "ENSG05220037233" "ENSG00000243659.1"
"143" "ENSG05220037235" "ENSG00000236528.1"
"144" "ENSG05220037236" "ENSG00000223583.1"
"145" "ENSG05220037239" "ENSG00000117643.15"
"146" "ENSG05220037247" "ENSG00000142684.9"
"147" "ENSG05220037250" "ENSG00000158006.14"
"148" "ENSG05220037253" "ENSG00000204178.11"
"149" "ENSG05220037255" "ENSG00000158022.7"
"150" "ENSG05220037257" "ENSG00000241188.3"
"151" "ENSG05220037258" "ENSG00000223624.1"
"152" "ENSG05220037273" "ENSG00000224311.1"
"153" "ENSG05220037276" "ENSG00000142675.18"
"154" "ENSG05220037282" "ENSG00000260063.1"
"155" "ENSG05220037284" "ENSG00000183726.11"
"156" "ENSG05220037294" "ENSG00000188672.19"
"157" "ENSG05220037309" "ENSG00000158246.8"
"158" "ENSG05220037310" "ENSG00000272432.1"
"159" "ENSG05220037311" "ENSG00000226698.1"
"160" "ENSG05220037312" "ENSG00000238084.4"
"161" "ENSG05220037314" "ENSG00000224129.1"
"162" "ENSG05220037317" "ENSG00000142748.13"
"163" "ENSG05220037319" "ENSG00000225159.1"
"164" "ENSG05220037322" "ENSG00000130695.16"
"165" "ENSG05220037326" "ENSG00000158008.10"
"166" "ENSG05220037327" "ENSG00000207237.1"
"167" "ENSG05220037330" "ENSG00000187010.21"
"168" "ENSG05220037337" "ENSG00000182749.6"
"169" "ENSG05220037338" "ENSG00000238705.1"
"170" "ENSG05220037339" "ENSG00000090273.14"
"171" "ENSG05220037343" "ENSG00000142733.17"
"172" "ENSG05220037346" "ENSG00000228172.5"
"173" "ENSG05220037347" "ENSG00000224064.1"
"174" "ENSG05220037350" "ENSG00000261349.1"
"175" "ENSG05220037351" "ENSG00000229985.2"
"176" "ENSG05220037352" "ENSG00000284657.1"
"177" "ENSG05220037357" "ENSG00000117713.20"
"178" "ENSG05220037363" "ENSG00000278572.1"
"179" "ENSG05220037365" "ENSG00000142784.16"
"180" "ENSG05220037367" "ENSG00000142751.15"
"181" "ENSG05220037369" "ENSG00000142669.15"
"182" "ENSG05220037372" "ENSG00000188782.9"
"183" "ENSG05220037373" "ENSG00000142765.18"
